iter	MultiClass
0	1.136140171
1	0.9602246766
2	0.8262531789
3	0.720973074
4	0.6338599912
5	0.5670055616
6	0.5062308036
7	0.4560186359
8	0.4105915762
9	0.3726941023
10	0.333826525
11	0.3021173089
12	0.2769464515
13	0.2514174544
14	0.2304851496
15	0.2123520771
16	0.1966113857
17	0.1798278196
18	0.1673943703
19	0.1532706014
20	0.1424641867
21	0.130348121
22	0.1224792329
23	0.1119950897
24	0.1021234656
25	0.09356294985
26	0.08803821095
27	0.07960037566
28	0.07403295294
29	0.0679615349
30	0.06214346578
31	0.05714841625
32	0.05430687981
33	0.05038125112
34	0.04681225123
35	0.04464833709
36	0.04157265783
37	0.03877315738
38	0.03603637652
39	0.03441639811
40	0.03295831138
41	0.03157473713
42	0.02952592789
43	0.02756905559
44	0.02601714331
45	0.02450389436
46	0.02304067174
47	0.02203791625
48	0.02086683295
49	0.02007235111
50	0.01967545792
51	0.01903601828
52	0.0183817568
53	0.01794850541
54	0.01696697732
55	0.0160367159
56	0.01558463977
57	0.01492224635
58	0.01462601784
59	0.01429165001
60	0.01409645881
61	0.01359904466
62	0.01341596233
63	0.01301705355
64	0.012761185
65	0.01229179323
66	0.01168064583
67	0.0112135774
68	0.01103097344
69	0.01078292616
70	0.01048945341
71	0.0101056821
72	0.0098448551
73	0.009624903664
74	0.009392570068
75	0.009011885455
76	0.008801612691
77	0.008741419119
78	0.008647236695
79	0.008320134138
80	0.008182537446
81	0.007899741506
82	0.007653122596
83	0.007515968585
84	0.007477919514
85	0.007291789417
86	0.007144703184
87	0.007005064258
88	0.006834972742
89	0.006722931724
90	0.006439127853
91	0.006150647546
92	0.005798422282
93	0.005695574183
94	0.005616515306
95	0.005512635049
96	0.005439469575
97	0.005269758536
98	0.005143493092
99	0.00502852652
100	0.004987778789
101	0.004873412051
102	0.004786449641
103	0.004707361998
104	0.004649213446
105	0.004580144679
106	0.004548162694
107	0.004519738821
108	0.004458496864
109	0.004407998571
110	0.004357874796
111	0.004303720681
112	0.004194291285
113	0.004143527773
114	0.004018176717
115	0.003889628199
116	0.003823792455
117	0.003788572338
118	0.003671859291
119	0.003623699275
120	0.003608702118
121	0.003564889781
122	0.003464203772
123	0.003427087261
124	0.003380129503
125	0.003342462051
126	0.003300708742
127	0.003173439311
128	0.003152943013
129	0.00306965204
130	0.003060547654
131	0.002986006753
132	0.002957205345
133	0.002944594191
134	0.002931842259
135	0.002928569338
136	0.002898733855
137	0.002866373604
138	0.002797876012
139	0.002744187348
140	0.002710715277
141	0.002702571538
142	0.002680032503
143	0.002652473847
144	0.002623073854
145	0.002584288173
146	0.002558161128
147	0.002503986791
148	0.0024509906
149	0.002444183652
150	0.002384219059
151	0.002374743946
152	0.002349071157
153	0.002314857261
154	0.002297017821
155	0.002291326541
156	0.002269652772
157	0.00224800971
158	0.002222211541
159	0.002219450058
160	0.002196241589
161	0.002179413164
162	0.002150369176
163	0.00213856745
164	0.002113976368
165	0.002064745435
166	0.002042854599
167	0.002040972158
168	0.002024713318
169	0.002013264724
170	0.002002612899
171	0.001966655486
172	0.001945836082
173	0.001925887714
174	0.001914214055
175	0.001909118257
176	0.001896806405
177	0.001892227815
178	0.001874958015
179	0.001860254074
180	0.001845258317
181	0.001807062093
182	0.00179332515
183	0.00176554748
184	0.001748865626
185	0.001725184495
186	0.001712619574
187	0.001685988829
188	0.001661443368
189	0.001646246392
190	0.001636989713
191	0.001624706257
192	0.001594046547
193	0.001584637968
194	0.001567945087
195	0.001558570207
196	0.00155409617
197	0.001547448257
198	0.001532327558
199	0.001513308213
